Ses01M_script03_2_F000 :act 4; :val 2; :dom 3; ()
Ses01M_script03_2_M000 :act 3; :val 2; :dom 1; ()
Ses01M_script03_2_M001 :act 3; :val 3; :dom 3; ()
Ses01M_script03_2_M002 :act 3; :val 3; :dom 2; ()
Ses01M_script03_2_M003 :act 3; :val 3; :dom 4; ()
Ses01M_script03_2_M004 :act 4; :val 3; :dom 4; ()
Ses01M_script03_2_M005 :act 3; :val 4; :dom 4; ()
Ses01M_script03_2_M006 :act 3; :val 4; :dom 4; ()
Ses01M_script03_2_M007 :act 2; :val 4; :dom 4; ()
Ses01M_script03_2_M008 :act 3; :val 4; :dom 3; ()
Ses01M_script03_2_M009 :act 3; :val 4; :dom 3; ()
Ses01M_script03_2_M010 :act 4; :val 4; :dom 3; ()
Ses01M_script03_2_M011 :act 3; :val 3; :dom 3; ()
Ses01M_script03_2_M012 :act 3; :val 3; :dom 3; ()
Ses01M_script03_2_M013 :act 2; :val 3; :dom 4; ()
Ses01M_script03_2_M014 :act 2; :val 4; :dom 4; ()
Ses01M_script03_2_M015 :act 2; :val 3; :dom 4; ()
Ses01M_script03_2_M016 :act 3; :val 3; :dom 3; ()
Ses01M_script03_2_M017 :act 2; :val 4; :dom 2; ()
Ses01M_script03_2_M018 :act 3; :val 3; :dom 3; ()
Ses01M_script03_2_M019 :act 4; :val 3; :dom 3; ()
Ses01M_script03_2_M020 :act 3; :val 3; :dom 3; ()
Ses01M_script03_2_M021 :act 4; :val 3; :dom 2; ()
Ses01M_script03_2_M022 :act 3; :val 4; :dom 4; ()
Ses01M_script03_2_M023 :act 2; :val 4; :dom 4; ()
Ses01M_script03_2_M024 :act 2; :val 4; :dom 4; ()
Ses01M_script03_2_M025 :act 3; :val 4; :dom 4; ()
Ses01M_script03_2_M026 :act 2; :val 4; :dom 4; ()
Ses01M_script03_2_M027 :act 4; :val 4; :dom 5; ()
Ses01M_script03_2_M028 :act 3; :val 5; :dom 4; ()
Ses01M_script03_2_M029 :act 2; :val 5; :dom 5; ()
Ses01M_script03_2_M030 :act 3; :val 4; :dom 4; ()
Ses01M_script03_2_M031 :act 2; :val 4; :dom 4; ()
Ses01M_script03_2_M032 :act 3; :val 3; :dom 3; ()
Ses01M_script03_2_M033 :act 3; :val 4; :dom 4; ()
Ses01M_script03_2_M034 :act 4; :val 4; :dom 3; ()
Ses01M_script03_2_M035 :act 3; :val 3; :dom 3; ()
Ses01M_script03_2_M036 :act 3; :val 4; :dom 4; ()
Ses01M_script03_2_M037 :act 3; :val 4; :dom 4; ()
Ses01M_script03_2_M038 :act 3; :val 4; :dom 4; ()
Ses01M_script03_2_M039 :act 3; :val 4; :dom 3; ()
Ses01M_script03_2_M040 :act 2; :val 5; :dom 4; ()
Ses01M_script03_2_M041 :act 4; :val 3; :dom 3; ()
Ses01M_script03_2_M042 :act 4; :val 4; :dom 3; ()
Ses01M_script03_2_M043 :act 1; :val 5; :dom 5; ()
