Ses01M_script02_2_F000 :act 4; :val 2; :dom 3; (amused by his excitement, unenthusiastic)
Ses01M_script02_2_M015 :act 5; :val 4; :dom 3; (trying to understand, and also get her to just tell him what's wrong)
Ses01M_script02_2_M016 :act 2; :val 4; :dom 3; (angrily bewildered)
Ses01M_script02_2_M017 :act 4; :val 4; :dom 3; (duh)
Ses01M_script02_2_M018 :act 4; :val 4; :dom 3; (bewildered, analytical)
Ses01M_script02_2_M019 :act 3; :val 3; :dom 3; (trying to make sense of it all)
Ses01M_script02_2_M020 :act 3; :val 4; :dom 3; (attitude)
Ses01M_script02_2_M021 :act 3; :val 4; :dom 3; (just narrating, still confused)
Ses01M_script02_2_M022 :act 2; :val 3; :dom 3; (dawning comprehension)
Ses01M_script02_2_M023 :act 3; :val 3; :dom 3; (realization, trying to confirm and then mollify)
Ses01M_script02_2_M024 :act 3; :val 3; :dom 3; (hopeful)
Ses01M_script02_2_M025 :act 4; :val 3; :dom 2; (cautious)
Ses01M_script02_2_M026 :act 4; :val 3; :dom 2; (hopeful, wants to cheer her)
Ses01M_script02_2_M027 :act 3; :val 3; :dom 2; (doing his best)
Ses01M_script02_2_M028 :act 4; :val 4; :dom 2; (now just confused, frustrated)
Ses01M_script02_2_M029 :act 4; :val 4; :dom 3; (now just frustrated by her stubbornness)
Ses01M_script02_2_M030 :act 4; :val 4; :dom 2; (trying from a new angle)
Ses01M_script02_2_M031 :act 3; :val 4; :dom 3; (frustrated)
Ses01M_script02_2_M032 :act 2; :val 4; :dom 3; (desperate, climbing  frustration)
Ses01M_script02_2_M033 :act 2; :val 5; :dom 4; (angry, confused, frustrated)
Ses01M_script02_2_M034 :act 1; :val 4; :dom 4; (not sympathetic or impressed by her reason for moroseness)
Ses01M_script02_2_M035 :act 2; :val 5; :dom 4; (angered by her naivete)
Ses01M_script02_2_M036 :act 3; :val 5; :dom 3; (anger turns to sadness)
Ses01M_script02_2_M037 :act 2; :val 5; :dom 3; (expresses his own disappointment with life, very upset)
Ses01M_script02_2_M038 :act 3; :val 5; :dom 4; (defeated, angry)
Ses01M_script02_2_M039 :act 4; :val 5; :dom 3; (sad)
Ses01M_script02_2_M040 :act 5; :val 5; :dom 1; (no will to keep fighting)
Ses01M_script02_2_M041 :act 4; :val 4; :dom 3; (reflective)
Ses01M_script02_2_M042 :act 4; :val 4; :dom 3; (resigned, unhappy)
Ses01M_script02_2_M043 :act 4; :val 5; :dom 3; (depressed by his revelation)
Ses01M_script02_2_M044 :act 4; :val 5; :dom 2; (explains his depressing revelation, so sad)
Ses01M_script02_2_M045 :act 4; :val 5; :dom 2; (disbelieving, pouty)
Ses01M_script02_2_M046 :act 4; :val 4; :dom 3; (new realization, slightly less depressed)
Ses01M_script02_2_M047 :act 4; :val 2; :dom 3; (cheered, joking again)
Ses01M_script02_2_M048 :act 3; :val 2; :dom 3; (cheered)
Ses01M_script02_2_M049 :act 3; :val 2; :dom 3; (happy to surprise her, cheerful again)
Ses01M_script02_2_M050 :act 3; :val 3; :dom 2; (feels need to justify)
Ses01M_script02_2_M051 :act 3; :val 3; :dom 2; (eager to please her, concerned, catering)
Ses01M_script02_2_M052 :act 4; :val 2; :dom 3; (joking, content)
Ses01M_script02_2_M053 :act 3; :val 2; :dom 3; (joking, happy again)
Ses01M_script02_2_M054 :act 2; :val 2; :dom 3; (happily concedes, hopeful and excited again)
